id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
74452,https://dadosabertos.camara.leg.br/api/v2/deputados/74452,ANTONIO CAMBRAIA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,CE,52,https://www.camara.leg.br/internet/deputado/bandep/74452.jpg,
159262,https://dadosabertos.camara.leg.br/api/v2/deputados/159262,ANTONIO CARLOS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,53,https://www.camara.leg.br/internet/deputado/bandep/159262.jpg,
74373,https://dadosabertos.camara.leg.br/api/v2/deputados/74373,ANTÔNIO CARLOS BIFFI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,MS,52,https://www.camara.leg.br/internet/deputado/bandep/74373.jpg,
74373,https://dadosabertos.camara.leg.br/api/v2/deputados/74373,ANTÔNIO CARLOS BIFFI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,MS,53,https://www.camara.leg.br/internet/deputado/bandep/74373.jpg,
74373,https://dadosabertos.camara.leg.br/api/v2/deputados/74373,ANTONIO CARLOS BIFFI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,MS,54,https://www.camara.leg.br/internet/deputado/bandep/74373.jpg,
73492,https://dadosabertos.camara.leg.br/api/v2/deputados/73492,ANTONIO CARLOS BISCAIA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RJ,52,https://www.camara.leg.br/internet/deputado/bandep/73492.jpg,
73492,https://dadosabertos.camara.leg.br/api/v2/deputados/73492,ANTONIO CARLOS BISCAIA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RJ,53,https://www.camara.leg.br/internet/deputado/bandep/73492.jpg,
152611,https://dadosabertos.camara.leg.br/api/v2/deputados/152611,ANTONIO CARLOS CHAMARIZ,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,AL,53,https://www.camara.leg.br/internet/deputado/bandep/152611.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS DE MENDES THAME,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,SP,55,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS DE MENDES THAME,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,SP,55,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
74058,https://dadosabertos.camara.leg.br/api/v2/deputados/74058,ANTONIO CARLOS MAGALHÃES NETO,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,BA,52,https://www.camara.leg.br/internet/deputado/bandep/74058.jpg,
74058,https://dadosabertos.camara.leg.br/api/v2/deputados/74058,ANTONIO CARLOS MAGALHÃES NETO,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,https://www.camara.leg.br/internet/deputado/bandep/74058.jpg,
