deputado_id,event_date,old_bloc,new_bloc,n_pre,n_post,sim_old_pre,sim_old_post,delta_sim_old,conf_old_pre,conf_old_post,delta_conf,left_vocab_pre,left_vocab_post,right_vocab_pre,right_vocab_post,delta_left_vocab,delta_right_vocab,group,vocab_shift
141492,2013-10-02 15:43:00+00:00,Left,Left,50,27,0.85066295,0.8660495,-0.015386581,0.7999142546788751,0.8114562184009926,-0.011541963722117465,0.03130359632096071,0.02820440520637793,0.007244104851358236,0.005130088132406275,-0.003099191114582782,-0.002114016718951961,control,0.0009851743956308208
141492,2013-10-07 15:44:00+00:00,Left,Left,50,27,0.85066295,0.8660495,-0.015386581,0.7999142546788751,0.8114562184009926,-0.011541963722117465,0.03130359632096071,0.02820440520637793,0.007244104851358236,0.005130088132406275,-0.003099191114582782,-0.002114016718951961,control,0.0009851743956308208
141492,2009-10-01 18:08:00+00:00,Left,Left,88,48,0.9021263,0.8994369,0.0026894212,0.8615668025834179,0.7762587580621582,0.08530804452125973,0.02636840436092487,0.02419959406880605,0.003834378286800485,0.003927707015565682,-0.0021688102921188224,9.332872876519722e-05,control,0.0022621390208840196
141413,2013-10-08 19:11:00+00:00,Left,Left,64,32,0.8200348,0.81267256,0.0073622465,0.6159140962201066,0.6778461176185522,-0.06193202139844556,0.008635897146302175,0.004795192853594493,0.01000276728891776,0.017823788894735515,-0.0038407042927076822,0.007821021605817755,control,0.011661725898525436
141413,2009-10-13 19:34:00+00:00,Left,Left,39,38,0.87852234,0.87807626,0.00044608116,0.43816674926796223,0.5395483367829449,-0.10138158751498266,0.004371555945637204,0.008683366331654008,0.011243371400910283,0.007832965180328772,0.004311810386016804,-0.003410406220581511,control,-0.007722216606598315
141413,2009-11-06 12:46:00+00:00,Left,Left,43,32,0.8786091,0.8786701,-6.097555e-05,0.4602867740135816,0.5158793616951358,-0.05559258768155423,0.007590453770193757,0.004830892840120382,0.00993566527043255,0.009067235503136751,-0.0027595609300733754,-0.0008684297672957985,control,0.001891131162777577
141413,2016-03-29 18:06:00+00:00,Left,Left,28,41,0.8369033,0.8313411,0.0055621862,0.5757076723587503,0.7544210422266203,-0.17871336986787,0.007835649769147305,0.020393449250170087,0.006052618144404389,0.0027154476559205338,0.012557799481022782,-0.003337170488483855,control,-0.015894969969506637
141413,2011-10-26 12:55:00+00:00,Left,Left,56,97,0.8485753,0.8083337,0.0402416,0.6012380471174827,0.6304975006674721,-0.029259453549989378,0.004655696656607243,0.008122798908464209,0.00849645312464365,0.008386592394412671,0.0034671022518569655,-0.00010986073023097967,control,-0.003576962982087945
141440,2013-09-30 16:30:00+00:00,Left,Left,115,101,0.8740485,0.8602129,0.013835549,0.5824194500560348,0.5764060216742324,0.00601342838180241,0.013122851671990274,0.014621843420283633,0.0036969652199577764,0.006684353520347185,0.0014989917482933594,0.0029873883003894088,control,0.0014883965520960493
141440,2013-10-08 19:11:00+00:00,Left,Left,115,98,0.87354684,0.85948706,0.014059782,0.5787094399633974,0.5792740930039065,-0.0005646530405091221,0.013101033715389709,0.014431695769884153,0.003488638924674959,0.006801762214367931,0.0013306620544944435,0.0033131232896929717,control,0.0019824612351985282
141440,2013-10-02 14:11:00+00:00,Left,Left,117,99,0.87434024,0.8595886,0.014751613,0.5787165813474037,0.580660655837326,-0.0019440744899222873,0.012898529421187022,0.014917234196450978,0.003706820588394469,0.006733057545535931,0.002018704775263957,0.0030262369571414623,control,0.0010075321818775055
